word,Reading,JLPT Level,Frequency Rank,Meaning
栄える,さかえる,N1,0,"to flourish, to prosper, to thrive"
差額,さがく,N1,0,"balance, difference, margin"
杯,さかずき,N1,1247,wine cup
逆立ち,さかだち,N1,0,"handstand, headstand"
さきに,さきに,N1,0,"before, earlier than, previously"
詐欺,さぎ,N1,7342,"fraud, swindle"
削減,さくげん,N1,5899,"cut, reduction"
錯誤,さくご,N1,0,mistake
作戦,さくせん,N1,1143,"military operations, tactics, strategy"
叫び,さけび,N1,13254,"shout, scream, outcry"
捧げる,ささげる,N1,15619,"to lift up, to give, to offer"
差し掛かる,さしかかる,N1,0,"to come near to, to approach"
指図,さしず,N1,0,"instruction, mandate"
差し出す,さしだす,N1,0,"to present, to submit, to hold out"
差し支える,さしつかえる,N1,0,"to interfere, to hinder"
授ける,さずける,N1,0,"to grant, to award, to teach"
摩する,さする,N1,0,"to rub, to stroke"
さぞ,さぞ,N1,0,"I am sure, certainly, no doubt"
定まる,さだまる,N1,0,"to become settled, to be fixed"
定める,さだめる,N1,5997,"to decide, to determine"
座談会,ざだんかい,N1,0,"symposium, round-table discussion"
雑,ざつ,N1,10291,"rough, crude"
雑貨,ざっか,N1,12646,"miscellaneous goods, general goods"
殺人,さつじん,N1,1563,murder
察する,さっする,N1,0,"to guess, to sense, to judge"
雑談,ざつだん,N1,0,"chatting, idle talk"
さっと,さっと,N1,0,"suddenly, smoothly"
悟る,さとる,N1,0,"to attain enlightenment, to understand"
座標,ざひょう,N1,1373,coordinates
さほど,さほど,N1,16713,"not so, not that much"
サボる,サボる,N1,0,to cut (skip) classes; to loaf on the job; to idle away one's time
様,さま,N1,945,state; way (a person does something); Mr. or Mrs.
寒気,さむけ,N1,0,"chill, shiver, cold"
侍,さむらい,N1,4255,samurai
さも,さも,N1,0,"with gusto, with satisfaction"
作用,さよう,N1,3381,"operation, effect, function"
さらう,さらう,N1,0,to kidnap
障る,さわる,N1,0,"to hinder, to interfere with, to affect"
酸,さん,N1,2210,acid
山岳,さんがく,N1,5180,mountains
参議院,さんぎいん,N1,2226,House of Councilors
産休,さんきゅう,N1,0,maternity leave
サンキュー,サンキュー,N1,0,thank you
残金,ざんきん,N1,0,remaining money
産後,さんご,N1,0,"postpartum, after childbirth"
残酷,ざんこく,N1,14376,"cruelty, harshness"
産出,さんしゅつ,N1,12689,"yield, produce"
参照,さんしょう,N1,418,"reference, consultation, consultation"
参上,さんじょう,N1,0,"calling on, visiting"
残高,ざんだか,N1,16380,"(bank) balance, remainder"
サンタクロース,サンタクロース,N1,19478,Santa Claus
桟橋,さんばし,N1,14789,"wharf, jetty, pier"
賛美,さんび,N1,0,"praise, adoration, glorification"
山腹,さんぷく,N1,0,"hillside, mountainside"
産婦人科,さんふじんか,N1,18052,maternity and gynecology department
産物,さんぶつ,N1,17522,"product, result, fruit"
山脈,さんみゃく,N1,4983,mountain range
仕上がり,しあがり,N1,0,"finish, end, completion"
仕上,しあげ,N1,0,"end, finishing touches"
仕上げる,しあげる,N1,0,"to finish up, to complete"
飼育,しいく,N1,6342,"breeding, raising, rearing"
強いて,しいて,N1,0,"to dare, to insist"
シート,シート,N1,4228,seat; sheet
ジーパン,ジーパン,N1,0,jeans
仕入れる,しいれる,N1,0,"to lay in stock, to replenish stock, to procure"
強いる,しいる,N1,0,"to force, to compel, to coerce"
潮,しお,N1,5284,tide
歯科,しか,N1,4965,dentistry
自我,じが,N1,17711,"self, ego"
自覚,じかく,N1,8794,self-conscious
仕掛,しかけ,N1,0,"device, trick, mechanism"
仕掛ける,しかける,N1,16881,"to lay, to set, to wage"
しかしながら,しかしながら,N1,4703,"however, nevertheless"
色彩,しきさい,N1,8625,color
式場,しきじょう,N1,0,"ceremonial hall, place of ceremony (e.g., marriage)"
しきたり,しきたり,N1,0,"custom, conventional practice, tradition"
事業,じぎょう,N1,333,"project, enterprise, business"
軽蔑,けいべつ,N1,0,"scorn, disdain"
経歴,けいれき,N1,1137,"personal history, career"
経路,けいろ,N1,4492,"course, route, channel"
けがらわしい,けがらわしい,N1,0,"filthy, unfair"
劇団,げきだん,N1,2618,"troupe, theatrical company"
激励,げきれい,N1,0,encouragement
ゲスト,ゲスト,N1,1263,guest
決,けつ,N1,18020,"decision, vote"
決意,けつい,N1,4871,"decision, determination"
結核,けっかく,N1,11005,tuberculosis
決議,けつぎ,N1,4111,"resolution, vote, decision"
結合,けつごう,N1,3637,"combination, union"
決算,けっさん,N1,3559,"balance sheet, settlement of accounts"
月謝,げっしゃ,N1,0,monthly tuition fee
決勝,けっしょう,N1,1123,finals (in sports)
結晶,けっしょう,N1,7038,"crystal, crystallization"
結成,けっせい,N1,1408,formation
結束,けっそく,N1,0,"union, unity"
げっそり,げっそり,N1,0,"being disheartened, losing weight"
決断,けつだん,N1,8274,"decision, determination"
月賦,げっぷ,N1,0,monthly installment
欠乏,けつぼう,N1,0,shortage
蹴飛ばす,けとばす,N1,0,"to kick away, to kick (someone)"
けなす,けなす,N1,0,to speak ill of
