word,Reading,JLPT Level
取り締まる,とりしまる,N1
取り調べる,とりしらべる,N1
取り立てる,とりたてる,N1
取り次ぐ,とりつぐ,N1
取り付ける,とりつける,N1
取り除く,とりのぞく,N1
取引,とりひき,N1
取り巻く,とりまく,N1
取り混ぜる,とりまぜる,N1
取り戻す,とりもどす,N1
取り寄せる,とりよせる,N1
ドリル,ドリル,N1
副,とりわけ,N1
とろける,とろける,N1
鈍感,どんかん,N1
とんだ,とんだ,N1
度忘れ,どわすれ,N1
問屋,とんや,N1
内閣,ないかく,N1
乃至,ないし,N1
内緒,ないしょ,N1
内心,ないしん,N1
内蔵,ないぞう,N1
ナイター,ナイター,N1
内部,ないぶ,N1
内乱,ないらん,N1
内陸,ないりく,N1
苗,なえ,N1
なおさら,なおさら,N1
流し,ながし,N1
長々,ながなが,N1
中程,なかほど,N1
渚,なぎさ,N1
嘆く,なげく,N1
投げ出す,なげだす,N1
仲人,なこうど,N1
和やか,なごやか,N1
名残,なごり,N1
情け,なさけ,N1
情無い,なさけない,N1
情深い,なさけぶかい,N1
詰る,なじる,N1
名高い,なだかい,N1
雪崩,なだれ,N1
懐く,なつく,N1
名付ける,なづける,N1
何気ない,なにげない,N1
なにとぞ,なにとぞ,N1
なにより,なにより,N1
ナプキン,ナプキン,N1
名札,なふだ,N1
生臭い,なまぐさい,N1
生温い,なまぬるい,N1
生身,なまみ,N1
鉛,なまり,N1
滑らか,なめらか,N1
嘗める,なめる,N1
悩ましい,なやましい,N1
悩ます,なやます,N1
悩み,なやみ,N1
並びに,ならびに,N1
成り立つ,なりたつ,N1
なるたけ,なるたけ,N1
慣れ,なれ,N1
馴々しい,なれなれしい,N1
～なんか,～なんか,N1
ナンセンス,ナンセンス,N1
何だか,なんだか,N1
なんだかんだ,なんだかんだ,N1
なんなり,なんなり,N1
荷,に,N1
似通う,にかよう,N1
にきび,にきび,N1
賑わう,にぎわう,N1
憎しみ,にくしみ,N1
肉親,にくしん,N1
肉体,にくたい,N1
逃げ出す,にげだす,N1
西日,にしび,N1
滲む,にじむ,N1
にせ物,にせもの,N1
日夜,にちや,N1
荷造り,にづくり,N1
担う,になう,N1
鈍る,にぶる,N1
にも関わらず,にもかかわらず,N1
